date,region,category,value
2015-01-03,Central,Office Supplies,16.448
2015-01-04,Central,Office Supplies,288.06
2015-01-05,East,Office Supplies,19.536
2015-01-06,South,Furniture,2573.82
2015-01-06,South,Office Supplies,665.9
2015-01-06,South,Technology,1147.94
2015-01-06,West,Office Supplies,19.44
2015-01-07,Central,Furniture,76.728
2015-01-07,Central,Office Supplies,10.43
2015-01-09,Central,Office Supplies,9.344
2015-01-09,Central,Technology,31.2
2015-01-10,South,Furniture,51.94
2015-01-10,South,Office Supplies,2.89
2015-01-11,East,Furniture,9.94
2015-01-13,West,Office Supplies,1345.75
2015-01-13,South,Technology,646.74
2015-01-13,West,Furniture,333.999
2015-01-13,South,Furniture,545.94
2015-01-13,South,Office Supplies,640.52
2015-01-13,East,Office Supplies,40.846000000000004
2015-01-14,East,Furniture,61.96
2015-01-15,South,Technology,149.95
2015-01-16,East,Furniture,127.104
2015-01-16,East,Office Supplies,48.66
2015-01-16,East,Technology,124.2
2015-01-18,West,Office Supplies,64.864
2015-01-19,West,Office Supplies,197.124
2015-01-19,West,Furniture,181.47
2015-01-20,Central,Furniture,287.67
2015-01-20,Central,Office Supplies,420.946
2015-01-20,South,Furniture,1106.54
2015-01-20,South,Office Supplies,120.124
2015-01-20,South,Technology,699.93
2015-01-20,West,Furniture,19.3
2015-01-20,West,Office Supplies,19.36
2015-01-23,West,Office Supplies,40.08
2015-01-26,South,Technology,343.33
2015-01-26,South,Office Supplies,526.04
2015-01-26,South,Furniture,75.24
2015-01-26,Central,Office Supplies,10.68
2015-01-26,Central,Furniture,141.96
2015-01-27,West,Furniture,333.0
2015-01-27,West,Office Supplies,93.66999999999999
2015-01-28,East,Office Supplies,3.928
2015-01-30,Central,Office Supplies,240.5
2015-01-31,West,Furniture,290.666
2015-02-01,Central,Technology,468.9
2015-02-02,West,Office Supplies,12.35
2015-02-02,South,Office Supplies,18.336
2015-02-02,South,Technology,180.96
2015-02-03,West,Office Supplies,97.11200000000001
2015-02-04,West,Office Supplies,134.38400000000001
2015-02-06,Central,Office Supplies,8.952
2015-02-06,South,Office Supplies,15.0
2015-02-06,South,Technology,306.56
2015-02-07,East,Office Supplies,64.96
2015-02-07,East,Technology,115.36
2015-02-08,West,Furniture,14.56
2015-02-11,Central,Furniture,393.83
2015-02-11,Central,Office Supplies,141.44
2015-02-11,South,Furniture,1256.22
2015-02-11,South,Office Supplies,17.46
2015-02-11,South,Technology,234.45
2015-02-12,West,Furniture,129.568
2015-02-14,Central,Office Supplies,16.176
2015-02-14,West,Office Supplies,320.58
2015-02-14,West,Technology,239.97
2015-02-15,West,Office Supplies,21.36
2015-02-16,Central,Office Supplies,9.04
2015-02-17,Central,Office Supplies,54.208
2015-02-18,Central,Furniture,25.16
2015-02-18,Central,Office Supplies,12.624
2015-02-20,Central,Furniture,20.32
2015-02-20,Central,Technology,62.31
2015-02-20,West,Office Supplies,12.96
2015-02-21,Central,Office Supplies,8.85
2015-02-22,West,Office Supplies,19.44
2015-02-23,Central,Office Supplies,11.364
2015-02-24,West,Office Supplies,55.672
2015-02-27,East,Office Supplies,19.456
2015-03-01,Central,Furniture,1436.4270000000001
2015-03-01,Central,Office Supplies,303.216
2015-03-01,East,Technology,5.94
2015-03-01,West,Furniture,457.568
2015-03-02,East,Office Supplies,47.76
2015-03-03,West,Furniture,626.352
2015-03-03,South,Office Supplies,19.456
2015-03-03,East,Technology,9.99
2015-03-03,East,Furniture,302.45
2015-03-03,Central,Office Supplies,176.772
2015-03-03,East,Office Supplies,210.872
2015-03-04,South,Office Supplies,370.452
2015-03-05,East,Office Supplies,225.59199999999998
2015-03-05,East,Technology,479.97
2015-03-07,West,Furniture,966.9839999999999
2015-03-07,West,Office Supplies,594.078
2015-03-10,Central,Office Supplies,22.38
2015-03-10,West,Office Supplies,719.576
2015-03-11,West,Office Supplies,7.98
2015-03-11,South,Technology,620.9300000000001
2015-03-11,East,Furniture,8.32
2015-03-11,East,Office Supplies,119.384
2015-03-11,South,Office Supplies,161.7
2015-03-14,Central,Office Supplies,8.448
2015-03-14,Central,Technology,574.91
2015-03-14,South,Furniture,1139.92
2015-03-14,South,Office Supplies,91.056
2015-03-14,West,Office Supplies,211.416
2015-03-14,West,Technology,82.8
2015-03-15,South,Office Supplies,325.086
2015-03-15,South,Furniture,45.696
2015-03-16,South,Technology,471.92
2015-03-17,Central,Office Supplies,275.104
2015-03-17,East,Furniture,3265.23
2015-03-17,East,Office Supplies,316.524
2015-03-17,South,Office Supplies,103.5
2015-03-18,West,Technology,1279.968
2015-03-18,West,Office Supplies,1856.19
2015-03-18,West,Furniture,1309.33
2015-03-18,South,Furniture,153.12
2015-03-18,South,Office Supplies,48.328
2015-03-18,South,Technology,23459.78
2015-03-19,South,Furniture,25.008
2015-03-19,South,Office Supplies,71.538
2015-03-19,South,Technology,494.216
2015-03-21,East,Office Supplies,13.456
2015-03-21,South,Furniture,251.328
2015-03-21,South,Office Supplies,345.102
2015-03-21,South,Technology,3499.93
2015-03-22,Central,Office Supplies,16.28
2015-03-22,South,Office Supplies,59.109
2015-03-22,West,Furniture,314.352
2015-03-22,West,Office Supplies,74.352
2015-03-23,South,Office Supplies,9.912
2015-03-23,West,Office Supplies,330.4
2015-03-23,West,Technology,604.752
2015-03-24,West,Furniture,40.48
2015-03-24,East,Office Supplies,24.9
2015-03-25,East,Furniture,366.786
2015-03-25,West,Office Supplies,46.879999999999995
2015-03-25,West,Technology,45.48
2015-03-26,West,Office Supplies,50.046
2015-03-26,West,Technology,95.084
2015-03-28,West,Technology,302.376
2015-03-28,Central,Furniture,1184.72
2015-03-28,Central,Office Supplies,6.12
2015-03-29,Central,Furniture,890.841
2015-03-30,Central,Furniture,127.302
2015-03-30,Central,Office Supplies,465.02000000000004
2015-03-30,Central,Technology,251.944
